Type,HostCPU,HostMem,NodeCPU,NodeCPU%,NodeMEM,NodeMEM%,PP_CPU,PP_MEM,PPAC_CPU,PPAC_MEM,PPP_CPU,PPP_MEM,PPGP_CPU,PPGP_MEM
Vanilla,19.01,2767922,976062238,12,19309520,30,118188115.5,41768.0,32644372.5,23102.0,25256892.0,19184.0,38566230.5,18790.0
Erinyes,23.77,3116774,1127091633,14,19593580,30,142665798.0,56634.0,34183605.5,32122.0,28043458.5,19498.0,36795765.0,19244.0
Alastor,25.62,3445297,1634044249,20,19771512,30,265500904.5,93826.0,180961793.0,69104.0,169239915.5,68792.0,176684313.5,68926.0
